"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"16/09/2023 00:00:00 - 16/09/2023 01:00:00","BZN|HU","Without Sequence","96.24","",""
"16/09/2023 01:00:00 - 16/09/2023 02:00:00","BZN|HU","Without Sequence","94.02","",""
"16/09/2023 02:00:00 - 16/09/2023 03:00:00","BZN|HU","Without Sequence","90.62","",""
"16/09/2023 03:00:00 - 16/09/2023 04:00:00","BZN|HU","Without Sequence","87.99","",""
"16/09/2023 04:00:00 - 16/09/2023 05:00:00","BZN|HU","Without Sequence","88.92","",""
"16/09/2023 05:00:00 - 16/09/2023 06:00:00","BZN|HU","Without Sequence","90.22","",""
"16/09/2023 06:00:00 - 16/09/2023 07:00:00","BZN|HU","Without Sequence","99.91","",""
"16/09/2023 07:00:00 - 16/09/2023 08:00:00","BZN|HU","Without Sequence","105.59","",""
"16/09/2023 08:00:00 - 16/09/2023 09:00:00","BZN|HU","Without Sequence","101.54","",""
"16/09/2023 09:00:00 - 16/09/2023 10:00:00","BZN|HU","Without Sequence","90.79","",""
"16/09/2023 10:00:00 - 16/09/2023 11:00:00","BZN|HU","Without Sequence","79.00","",""
"16/09/2023 11:00:00 - 16/09/2023 12:00:00","BZN|HU","Without Sequence","64.97","",""
"16/09/2023 12:00:00 - 16/09/2023 13:00:00","BZN|HU","Without Sequence","54.48","",""
"16/09/2023 13:00:00 - 16/09/2023 14:00:00","BZN|HU","Without Sequence","32.44","",""
"16/09/2023 14:00:00 - 16/09/2023 15:00:00","BZN|HU","Without Sequence","34.40","",""
"16/09/2023 15:00:00 - 16/09/2023 16:00:00","BZN|HU","Without Sequence","74.46","",""
"16/09/2023 16:00:00 - 16/09/2023 17:00:00","BZN|HU","Without Sequence","86.64","",""
"16/09/2023 17:00:00 - 16/09/2023 18:00:00","BZN|HU","Without Sequence","109.18","",""
"16/09/2023 18:00:00 - 16/09/2023 19:00:00","BZN|HU","Without Sequence","130.79","",""
"16/09/2023 19:00:00 - 16/09/2023 20:00:00","BZN|HU","Without Sequence","174.92","",""
"16/09/2023 20:00:00 - 16/09/2023 21:00:00","BZN|HU","Without Sequence","141.69","",""
"16/09/2023 21:00:00 - 16/09/2023 22:00:00","BZN|HU","Without Sequence","117.14","",""
"16/09/2023 22:00:00 - 16/09/2023 23:00:00","BZN|HU","Without Sequence","105.03","",""
"16/09/2023 23:00:00 - 17/09/2023 00:00:00","BZN|HU","Without Sequence","99.73","",""
