feature,mean_abs_shap
last_y,1.6931932
lag_1_t0,1.0848578
lag_4_t0,1.1770161
lag_8_t0,1.1102918
lag_24_t0,0.41890472
lag_96_t0,14.556959
lag_192_t0,3.4878483
lag_672_t0,7.998701
ramp_1h_t0,0.36417335
ramp_6h_t0,0.58330095
ramp_1d_t0,1.1444355
roll_mean_24_t0,1.0621394
roll_mean_96_t0,0.8756941
roll_mean_672_t0,0.55372757
roll_std_24_t0,0.7919751
roll_std_96_t0,1.7122964
roll_std_672_t0,2.2920191
h,2.9205441
q_in_hour_target,0.10925886
qod_target,1.186144
hod_target,0.20929584
dow_target,5.2034264
month_target,1.1529077
is_weekend_target,1.0825093
load_fc_target,11.130083
load_ramp_1h_target,1.7488575
load_ramp_6h_target,3.5471535
load_day_mean,1.0994909
load_day_max,1.2874755
load_day_min,0.6626011
